I’m Goin’ Back To Bottomland ,(Williams-Trent) 
You’ll Long For Me ,(Williams) 
Baby Won’t You Please Come Home ,(Williams-Warfield) 
Close Fit Blues ,(Williams) 
Shake ‘Em Up ,(Williams) 
Jingles ,(Johnson) 
Yama Yama Blues ,(Williams) 
Church Street Sobbin’ Blues ,(Lada-Cawley-Nunez) (3:01)
Dreaming The Hours Away ,(Dulmage) 
Close Fit Blues ,(Williams) 
Sweet Emmalina ,(Palmer-Razaf) 
Any Time ,(Jordan-Williams) 
Sweet Emmaline ,(Palmer-Razaf) 
Log Cabin Blues ,(Delaney) 
Organ Grinder Blues ,(Williams) 
I’m Busy And You Can’t Come In ,(Williams) 
Walk That Broad ,(Delaney-Frisino) 
Have You Ever Felt That Way? ,(Castleton-Williams) (3:09)
Watchin‘ The Clock ,(Oliver) 
Freeze Out ,(Waller) 
,
,
Original Memphis Five Groups 1921-25 ,
Aunt Hagar's Children's Blues ,(Handy)
Shake It And Break It ,(Chiha-Clark) 
I Wish I Could Shimmy Like My Sister Kate ,(Piron)
I Wish I Could Shimmy Like My Sister Kate ,(Piron)
Got To Cool My Doggies Now ,(Shafer-Thompson-Williams)
Got To Cool My Doggies Now ,(Shafer-Thompson-Williams) 
Runnin‘ Wild ,(Grey-Gibbs)
Ivy (Cling To Me) ,(Jones-Johnson-Rogers) 
Loose Feet ,(Williams) 
Aggravatin’ Papa ,(Turk-Robinson) 
The Great White Way Blues ,(Signorelli-Napoleon) 
Four O’Clock Blues ,(Horsley-Dunn) 
The Jelly Roll Blues ,(Morton) 
A Bunch Of Blues ,(Kelley-Wyer) 
It Ain’t Gonna Rain No Mo’ ,(Hall)
Red Hot Mamma ,(Wells-Cooper-Rose) 
How Come You Do Me Like You Do ,(Austin-Bergere) 
Meanest Blues ,(Napoleon-Signorelli) 
Prince Of Wails ,(Schoebel)
Jimtown Blues ,(Davis) 
Those Panama Mamas ,(Johnson-Bibo) 
Down And Out Blues ,(Farrell-Sizemore)
Indiana Stomp ,(Original Indiana Five)
,
,
Bennie Moten 1928-29,
Just Rite ,(Moten)
Just Rite,(Moten)
Slow Motion,(Moten)
Tough Breaks,(Leonard-Moten)
It's Hard To Laugh Or Smile,(Moten)
Sad Man Blues ,(Moten)
Kansas City Breakdown,(Moten-Walder)
Trouble In Mind,(Jones)
Hot Water Blues,(Moten)
Get Low-Down Blues ,(Moten)
She's No Trouble,(Hayes)
South,(Moten-Washington)
Terrific Stomp,(Moten-Washington)
Let's Get It,(Moten)
Kansas City Squabble,(Moten)
Rite Tite,(Moten-Clemmons)
Moten's Blues,(Moten)
That's What I'm Talking About,(Moten-Walder)
That Certain Motion ,(Moten-Hayes-Beny)
It Won't Be Long ,(Moten-Abraham) 
When Life Seems So Blue ,(Moten-Hayes) 
Loose Like A Goose ,(Moten-Moten) 
Just Say It's Me ,(Moten-Moten)
New Goofy Dust – Rag ,(Moten)
,
,
Bennie Moten 1929-30,
Rumba Negro (Spanish Stomp) ,(Moten-Basie)
 The Jones Law Blues ,(Moten-Basie)
The Jones Law Blues ,(Moten-Basie) 
Band Box Shuffle ,(Moten-Basie)
Small Black ,(Moten-Basie) 
Small Black,(Moten-Basie)
Every Day Blues (Yo Yo Blues) ,(Moten-Durham) 
Boot It ,(Moten) 
 Mary Lee ,(Moten-Perry)
Rit-Dit-Ray,(Moten-Basie)
Rit-Dit-Ray,(Moten-Basie)
New Vine Street Blues ,(Moten-Basie)
 Sweethearts Of Yesterday ,(Moten-Hold-Sanders) 
Won't You Be My Baby? ,(Moten-Rushing) 
 I Wish I Could Be Blue ,(Moten-Durham-Basie) 
Oh! Eddie ,(Moten-Durham)
" That Too, Do ",(Moten-Durham-Basie)
"That Too, Do ",(Moten-Durham-Basie) 
 Mack's Rhythm ,(Moten-Basie)
You Made Me Happy ,(Moten-Durham)
Here Comes Marjorie ,(Moten-Woode)
The Count ,(Gordon)
Liza Lee ,(Green-Stept)
,
,
Bennie Moten 1930-32,
Get Goin' (Get Ready To Love) ,(Seymour-Rich)
Professor Hot Stuff ,(Moten-Durham-Basie)
When I'm Alone ,(Moten-Rushing)
New Moten Stomp ,(Moten)
As Long As I Love You (Jeanette) ,(Moten-Wood) 
Somebody Stole My Gal ,(Wood)
Now That I Need You ,(Moten-Basie-Smith) 
Bouncin' Around ,(Moten) 
Ya Got Love ,(Goodhart-Nelson-Hoffman)
I Wanna Be Around My Baby All The Time ,(Young-Meyer)
Toby ,(Moten-Barefield) 
Moten Swing ,(Moten-Moten) 
The Blue Room ,(Rodgers-Hart)
Imagination ,(Russell)
New Orleans ,(Carmichael) 
The Only Girl I Ever Loved ,(Ziegler) 
Milenberg Joys ,(Morton-Melrose) 
Lafayette ,(Basie-Durham) 
Prince Of Wails ,(Schoebel)
Two Times ,(Sauberg) 
,
,
